,School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION,School ID
133,"University of California, Berkeley",59900,112000,201000,1128030,3534,190.46,3.4,18.42,203.03,923.93,62.69,3,152
134,University of Texas at El Paso (UTEP),43400,72100,133000,271701,851.12,155.25,2.66,15.28,165.49,726.55,45.04,0,153
135,Arkansas State University (ASU),38700,63300,118000,257821,807.64,146.03,2.26,13.3,155.67,613.21,45.91,0,155
136,University of Virginia (UVA),52700,103000,215000,376495,1179,159.11,2.24,15.52,169.61,829.37,59.86,0,156
137,Florida State University (FSU),42100,73000,156000,315423,988.08,144.36,2.43,16.13,153.88,739.3,51.06,0,157
138,"Wesleyan University (Middletown, Connecticut)",46500,97900,215000,616230,1930,161.62,2.94,14.77,172.29,852.64,60.58,4,158
139,Eastern Washington University,38600,70900,117000,336194,1053,126.75,2.93,14.23,135.11,851.89,50.23,2,159
140,Widener University,52900,83400,138000,244957,767.34,208.74,3,17.05,222.51,793.34,55.18,4,160
141,University of Nebraska,45700,80900,156000,286622,897.86,120.21,2.66,14.12,128.14,768.57,53.22,1,161
142,Lamar University,46500,79400,158000,311953,977.21,216.11,2.47,13.19,230.37,683.01,50.23,0,162
143,Tennessee Technological University,46200,80000,121000,237695,744.6,166.99,2.26,12.57,178.01,672.51,51.83,0,163
144,"California State University, Sacramento (CSUS)",47800,82400,154000,474696,1487,149.72,3.2,17.13,159.6,778.34,56.15,3,164
